지점,지점명,일시,최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일사량(MJ/m2),일 최심적설(cm)
108,서울,2024-01-01,-.3,7.3,0,1.7,83.4,7.44,2.4
108,서울,2024-01-02,2.2,4.3,0,1.6,72.6,3.87,
108,서울,2024-01-03,-1.1,4,.6,1.6,80.4,3.32,
108,서울,2024-01-04,-3.3,4.7,,1.9,74.3,5.22,
108,서울,2024-01-05,1.4,9.1,0,2.3,77.1,7.77,
108,서울,2024-01-06,-2.7,5.2,2.4,2.2,63.9,11.42,6
108,서울,2024-01-07,-8.3,-.9,,3.1,57.4,12.13,5.6
108,서울,2024-01-08,-10.3,0,,1.8,57.8,11.65,1.5
108,서울,2024-01-09,-1.9,.4,1.6,2,84,1.48,3.1
108,서울,2024-01-10,-4.1,3.3,,1.7,85.9,7.81,3
108,서울,2024-01-11,-2.4,4.5,,1.9,80.6,4.58,2
108,서울,2024-01-12,-1.4,4.2,,2.3,61.6,11.77,
108,서울,2024-01-13,-3.8,6.4,,1.4,44.3,12.05,
108,서울,2024-01-14,-3.3,2.4,3.1,2.1,74.5,1.28,
108,서울,2024-01-15,-6.9,.9,,2.5,51.3,12.82,
108,서울,2024-01-16,-7.2,4.3,,1.5,49.8,11.86,
108,서울,2024-01-17,-2.3,1.9,9.7,2,78.5,1.9,2.3
108,서울,2024-01-18,1.4,9.4,.5,2.4,81.5,9.86,1.1
108,서울,2024-01-19,4,9,,4.5,65.4,10.29,
108,서울,2024-01-20,1.9,4.9,.4,5.3,69.5,2.74,
108,서울,2024-01-21,-2.4,4.3,.4,2.5,75.8,3.57,
108,서울,2024-01-22,-11.9,-2.4,.2,4.1,65.6,8.49,2.3
108,서울,2024-01-23,-14,-8.2,,3.9,53.6,13.53,
108,서울,2024-01-24,-11.2,-3.7,,3.3,52,13.63,
108,서울,2024-01-25,-9.7,-.5,,2.1,47.8,13.57,
108,서울,2024-01-26,-6.9,4,,1.9,62.5,12.68,
108,서울,2024-01-27,-4.6,4.6,,1.8,70,12.43,
108,서울,2024-01-28,-5,3.8,,1.9,62.3,12.52,
108,서울,2024-01-29,-4.8,4.6,,1.7,66.6,12.65,
108,서울,2024-01-30,-4,8.1,,1.4,59.3,12.73,
108,서울,2024-01-31,.7,10.6,,1.9,54.1,12.65,
108,서울,2024-02-01,-1.3,8.2,,2.1,64.9,10.12,
108,서울,2024-02-02,.7,7.9,,2.1,65.5,10.3,
108,서울,2024-02-03,-.2,8.3,0,2.2,63.9,6.77,
108,서울,2024-02-04,3.7,12.2,,1.8,60.9,10.88,
108,서울,2024-02-05,.1,6.6,3.9,5,81.8,3.47,3.6
108,서울,2024-02-06,0,2.9,.2,2.2,83.5,4.49,3.8
108,서울,2024-02-07,-.9,2.7,0,2.1,76.6,3.61,
108,서울,2024-02-08,-3,6.2,,1.6,66.9,13.96,
108,서울,2024-02-09,-2.5,6.1,,2.2,66.8,12.47,
108,서울,2024-02-10,-1.5,7.4,,1.9,69.4,11.32,
108,서울,2024-02-11,-3.1,5.5,0,2.2,70.6,10.38,
108,서울,2024-02-12,-2.9,10.5,,1.8,62.8,15.35,
108,서울,2024-02-13,2,13.7,,2.5,70.6,10.98,
108,서울,2024-02-14,8.8,18.3,,2.2,76.4,10.39,
108,서울,2024-02-15,.6,11.6,10.9,2.9,89.9,2.71,1.5
108,서울,2024-02-16,-1.5,8.1,,1.8,72.4,13.32,
108,서울,2024-02-17,-1.2,11.7,,1.7,73.5,15.33,
108,서울,2024-02-18,1.2,9.4,17.1,2.8,81.4,3.01,
108,서울,2024-02-19,4.2,11.9,8.9,2.3,95.8,1.37,
108,서울,2024-02-20,2.8,6.8,2.6,3.4,86.3,2.34,
108,서울,2024-02-21,0,4,17.8,5.2,92.5,2.77,5.2
108,서울,2024-02-22,-1.1,1.6,8.8,4.2,84.5,4.5,13.8
108,서울,2024-02-23,-1,6.1,.4,3.5,68.8,15.28,10.2
108,서울,2024-02-24,-1.3,5.9,2.3,2.9,68.6,12.07,2
108,서울,2024-02-25,.8,5.9,1.8,2,80.8,7.55,.2
108,서울,2024-02-26,-1.2,9.7,,1.9,65.3,14.98,
108,서울,2024-02-27,1.2,9.8,,3,52,13.06,
108,서울,2024-02-28,3.2,10.1,,2.1,59.5,10.2,
108,서울,2024-02-29,.3,9.6,,2.2,63.6,7.01,
108,서울,2024-03-01,-7.1,.3,,4.4,38.9,20.33,
108,서울,2024-03-02,-8.1,4.1,0,3.2,60.4,13.21,
108,서울,2024-03-03,.4,7.8,,2.9,71.5,13.52,
108,서울,2024-03-04,-1.8,11.7,,1.6,45.5,17.79,
108,서울,2024-03-05,5.5,11,,2.9,45.1,6.29,
108,서울,2024-03-06,2.5,10.3,,2.8,58.8,10.31,
108,서울,2024-03-07,1.2,8.2,2.1,3,62.4,8.77,
108,서울,2024-03-08,-.7,6.5,,3.4,50.6,19.91,
108,서울,2024-03-09,-2.1,7.1,,2.7,50.8,21.15,
108,서울,2024-03-10,-1.8,10.6,,2.1,54,20.38,
108,서울,2024-03-11,2,10.8,,,62.3,,
108,서울,2024-03-12,4.4,10,2.1,,78,.3,
108,서울,2024-03-13,1.3,12,,2.7,57.6,20.78,
108,서울,2024-03-14,3.4,15.4,,,58.3,,
108,서울,2024-03-15,4,14.5,,2.3,68.5,20.18,
108,서울,2024-03-16,4.4,18.3,,2.1,54.5,18.28,
108,서울,2024-03-17,5.4,12.2,.1,3.7,48,18.59,
108,서울,2024-03-18,1.4,13.2,,2.4,28.6,21.33,
108,서울,2024-03-19,3.9,9.8,.2,3.7,60.8,9.63,
108,서울,2024-03-20,1.2,8.7,,3.4,46.5,19.09,
108,서울,2024-03-21,-1.2,11.5,,2,46.5,22.43,
108,서울,2024-03-22,3.8,15.2,5.4,3.4,57,10.25,
108,서울,2024-03-23,9.3,18.2,.1,2.3,66,19.2,
108,서울,2024-03-24,10.5,23.4,,2.4,42.5,19.89,
108,서울,2024-03-25,6.7,14.5,5.1,4,63,4.68,
108,서울,2024-03-26,3.2,12.4,11.5,2.6,77.3,13.76,
108,서울,2024-03-27,4.4,16.2,,2,68.4,18.46,
108,서울,2024-03-28,7.8,12.2,1.9,1.8,81.8,4.13,
108,서울,2024-03-29,5,12.3,1.4,2.8,73,6.68,
108,서울,2024-03-30,3,15.6,,2.4,56.5,16.07,
108,서울,2024-03-31,3.4,17.7,,1.9,39.9,22.79,
108,서울,2024-04-01,5.5,19,,1.8,32,23.72,
108,서울,2024-04-02,7,23.9,,2,37.5,21.69,
108,서울,2024-04-03,13.9,19.7,0,1.8,55.9,7.18,
108,서울,2024-04-04,12.4,20.3,,2.9,52.1,15.47,
108,서울,2024-04-05,10.2,18.8,,2.5,51.3,17.11,
108,서울,2024-04-06,8,18.9,,1.9,48.6,17.49,
108,서울,2024-04-07,7.7,23.4,,2,33.4,23.4,
108,서울,2024-04-08,11,22.8,,2.1,46.5,14.44,
108,서울,2024-04-09,10.6,20.8,,3.5,32.4,25.68,
108,서울,2024-04-10,10.2,18.5,,2.6,62.6,15.38,
108,서울,2024-04-11,11.7,21.1,0,1.8,61,14.28,
108,서울,2024-04-12,12,24.2,,2.1,59.6,23.59,
108,서울,2024-04-13,11.2,27.3,,1.9,52.4,25.65,
108,서울,2024-04-14,13.6,29.4,,1.9,47.1,24.93,
108,서울,2024-04-15,11.7,20,17.1,2.5,77.4,3.18,
108,서울,2024-04-16,11.5,17.9,2.3,2.5,82.6,13.45,
108,서울,2024-04-17,9.7,21.8,,2.2,65.3,23.2,
108,서울,2024-04-18,10.7,24.9,,2.2,53.3,25.45,
108,서울,2024-04-19,11.5,24.3,,2.1,51.8,23.5,
108,서울,2024-04-20,13,17.2,4.8,3,77.3,4.46,
108,서울,2024-04-21,13.3,21.7,,3.8,65.5,11.86,
108,서울,2024-04-22,15,24.1,,3.1,49.4,19.34,
108,서울,2024-04-23,13.2,24.2,0,3.6,55,19.16,
108,서울,2024-04-24,11,16.5,9,3,80.1,9.53,
108,서울,2024-04-25,10.3,20.8,,1.9,75.6,18.59,
108,서울,2024-04-26,11.4,26,,1.9,61.1,23.74,
108,서울,2024-04-27,11.5,26.2,,1.9,56.4,28.23,
108,서울,2024-04-28,13,28.9,,1.6,53.5,25.14,
108,서울,2024-04-29,16.9,26.1,,3,48,21.36,
108,서울,2024-04-30,16,22.5,,2.2,62.5,17.95,
108,서울,2024-05-01,13.9,24,,2.4,46,26.05,
108,서울,2024-05-02,12.4,23.7,,2.4,48.4,28.72,
108,서울,2024-05-03,12.2,27.9,,1.9,46.9,28.28,
108,서울,2024-05-04,14.6,28.5,0,1.9,44.8,26.61,
108,서울,2024-05-05,15.7,20.6,48.3,2.5,87.4,2.17,
108,서울,2024-05-06,13.4,15.7,12.3,3.1,92.9,2.71,
108,서울,2024-05-07,12.2,15,2.4,3,77.3,4.75,
108,서울,2024-05-08,9,21.4,,2.3,58.8,27.21,
108,서울,2024-05-09,10.9,21.8,,2.9,63.6,27.17,
108,서울,2024-05-10,12.5,23.8,,2.6,55.6,28.02,
108,서울,2024-05-11,14,22,31.7,3.5,80,5.72,
108,서울,2024-05-12,11.9,21.6,,2.7,65,28.91,
108,서울,2024-05-13,11.9,24.5,,2.3,51.9,30.09,
108,서울,2024-05-14,12.7,24.7,,2.4,43.3,30.02,
108,서울,2024-05-15,7.2,18.8,20.6,2.7,74.3,8.35,
108,서울,2024-05-16,6.9,19.8,.1,3.1,61.3,31.35,
108,서울,2024-05-17,10.8,24.9,,2.2,63.6,24.4,
108,서울,2024-05-18,16,26.5,,2,65.3,26.88,
108,서울,2024-05-19,15.9,27.9,,1.9,63.1,28.99,
108,서울,2024-05-20,16.8,22.8,,2.3,75,11.45,
108,서울,2024-05-21,16.3,28.3,,1.9,68.1,26.37,
108,서울,2024-05-22,16.4,25.5,,2.3,68.9,27.4,
108,서울,2024-05-23,15.8,26.4,,2.5,67.9,30.1,
108,서울,2024-05-24,15.7,24.7,,2.1,75.1,20.51,
108,서울,2024-05-25,18.7,24.7,,1.8,62.8,17.34,
108,서울,2024-05-26,17,23.7,8.7,2.7,74.3,10.2,
108,서울,2024-05-27,14.1,22.6,,3.3,63.4,26.89,
108,서울,2024-05-28,14.3,26.1,,2.5,54.8,27.55,
108,서울,2024-05-29,15.4,26.8,,2.1,51.6,29.38,
108,서울,2024-05-30,16.2,24.6,,1.6,49.1,12.97,
108,서울,2024-05-31,16.9,25.4,1,2.6,60,30.31,
108,서울,2024-06-01,17.5,25.2,0,2.8,61.3,27.02,
108,서울,2024-06-02,15.7,25.8,,2.7,51.9,28.7,
108,서울,2024-06-03,15.7,28.7,,2.4,47.4,29.95,
108,서울,2024-06-04,16.3,29.3,,2.4,42.1,31.17,
108,서울,2024-06-05,18.1,30.1,,1.9,53.9,25.14,
108,서울,2024-06-06,19.3,31.4,,2,54.3,24.47,
108,서울,2024-06-07,18.3,28,.8,1.9,54.3,20.41,
108,서울,2024-06-08,17.9,25,16.9,1.6,79.5,9.7,
108,서울,2024-06-09,17.4,28.8,,1.8,68.9,28.38,
108,서울,2024-06-10,19,31.1,,2.2,66.3,26.57,
108,서울,2024-06-11,21.7,31.6,,2.4,62.4,27.17,
108,서울,2024-06-12,19.2,31.8,,2.1,60.8,27.73,
108,서울,2024-06-13,20,32.8,,1.8,51.4,29.8,
108,서울,2024-06-14,21.4,33,,2.3,56,24.24,
108,서울,2024-06-15,21.8,28.2,6.1,1.9,72.3,15.71,
108,서울,2024-06-16,19.9,29.5,,2.8,58.4,30.02,
108,서울,2024-06-17,18.9,30.2,,2.4,48.4,28.17,
108,서울,2024-06-18,20.4,32.9,,2.1,59.5,29.22,
108,서울,2024-06-19,21.4,35.8,,1.6,54.3,28.25,
108,서울,2024-06-20,23.4,35.4,,2,45.1,25.99,
108,서울,2024-06-21,22.9,33.9,,2,49.8,24.75,
108,서울,2024-06-22,22.6,26.1,16.5,2,80.6,3.59,
108,서울,2024-06-23,22.5,30.1,5.1,2.2,79.5,18.84,
108,서울,2024-06-24,21.2,27.9,0,2.9,70.4,19.62,
108,서울,2024-06-25,19.1,27.2,,3,61.9,25.24,
108,서울,2024-06-26,18.9,31.6,,1.9,61,27.64,
108,서울,2024-06-27,20.6,31.6,,1.6,55,23.84,
108,서울,2024-06-28,21.3,32.5,,2.1,54.6,28.84,
108,서울,2024-06-29,21.6,32.3,38.3,2.2,65.1,20.46,
108,서울,2024-06-30,22,24.9,32.2,3.7,88.5,3.89,
108,서울,2024-07-01,22,31.3,,1.8,69.1,24.69,
108,서울,2024-07-02,21.9,25.2,65.1,2.8,90,1.93,
108,서울,2024-07-03,23.6,25.9,.8,3.6,80.3,8.91,
108,서울,2024-07-04,23.2,30.6,3.6,3,74.8,18.81,
108,서울,2024-07-05,21.3,26.1,4.1,3.3,80.5,11.25,
108,서울,2024-07-06,22.1,30,2.8,3.2,84.1,6.84,
108,서울,2024-07-07,21.5,28.2,28.7,1.8,85.1,11.09,
108,서울,2024-07-08,23.1,24.5,21.1,1.8,93.4,3.36,
108,서울,2024-07-09,22.7,26.7,.3,1.8,86.9,7.77,
108,서울,2024-07-10,22.7,31.1,1.4,2.2,77.1,20.04,
108,서울,2024-07-11,23.3,28.9,,2.1,79.6,21.74,
108,서울,2024-07-12,21.8,30.2,,1.6,79.5,13.33,
108,서울,2024-07-13,23.5,33.3,0,1.9,70,23.54,
108,서울,2024-07-14,24.9,32.1,.4,2.4,65.9,22.34,
108,서울,2024-07-15,24.5,31.3,0,2.4,64.6,18.13,
108,서울,2024-07-16,24.6,30.7,17,2.3,78.4,12.32,
108,서울,2024-07-17,24.1,28.1,98.8,2.5,91.6,3.48,
108,서울,2024-07-18,23.1,25.6,128.8,2.2,95.3,2.47,
108,서울,2024-07-19,24.2,30.8,.1,2.2,80.1,21.69,
108,서울,2024-07-20,25.1,30.6,14.9,2.7,80.4,13.42,
108,서울,2024-07-21,22.5,29.8,8.5,3.6,83.6,11.48,
108,서울,2024-07-22,24.3,27.9,79.9,3.1,89,4.09,
108,서울,2024-07-23,25.8,27.3,2,3.2,87.9,4.92,
108,서울,2024-07-24,26,30.9,14.7,2.6,85,15.31,
108,서울,2024-07-25,25.4,32.2,25.3,1.8,79.8,14.15,
108,서울,2024-07-26,25.2,32.7,5.5,2.3,81.9,18.29,
108,서울,2024-07-27,27.5,31.7,33.5,1.7,83.6,12.73,
108,서울,2024-07-28,27.3,32.2,0,3.2,76,18.33,
108,서울,2024-07-29,26.8,27.8,0,3.8,84,2.61,
108,서울,2024-07-30,26.3,31.9,,2.8,78.8,15.95,
108,서울,2024-07-31,27,33.3,,2.6,74.5,17.42,
108,서울,2024-08-01,27.3,33.2,.3,2.6,75.5,14.95,
108,서울,2024-08-02,28.2,32.5,,2.6,79.4,10.36,
108,서울,2024-08-03,27.2,34.2,,2.2,75,21.64,
108,서울,2024-08-04,27.3,36.2,,1.6,69.3,24.4,
108,서울,2024-08-05,26.9,33.7,1.3,1.9,75.5,12.92,
108,서울,2024-08-06,25.6,33.5,0,1.9,74.8,18.84,
108,서울,2024-08-07,27.2,33.4,3.4,1.7,72,20.7,
108,서울,2024-08-08,26.9,31.6,0,1.6,77.5,10.94,
108,서울,2024-08-09,25.6,33.6,,1.6,74.1,15.55,
108,서울,2024-08-10,26.4,33.6,,1.7,70.8,15.76,
108,서울,2024-08-11,27.8,34.4,,1.8,67.8,17.14,
108,서울,2024-08-12,28.2,34.1,,1.9,70.5,13.51,
108,서울,2024-08-13,28.1,36.4,0,1.8,70,20.81,
108,서울,2024-08-14,27.3,34.9,3,1.9,73,12.59,
108,서울,2024-08-15,26.7,34.6,6.4,1.8,74.6,15.98,
108,서울,2024-08-16,26.8,34.3,0,2,69.4,17.24,
108,서울,2024-08-17,27.2,34,11,1.7,71,14.73,
108,서울,2024-08-18,27,33.9,0,2,73.8,17.64,
108,서울,2024-08-19,26.3,35.3,2.3,1.9,72.3,20.08,
108,서울,2024-08-20,27,35.4,0,2.3,68.3,19.09,
108,서울,2024-08-21,26.9,30.8,42.2,3.2,85.9,4.68,
108,서울,2024-08-22,27.1,30.3,.6,3.4,79.9,7.27,
108,서울,2024-08-23,26.4,31.8,0,2.7,73.5,17.48,
108,서울,2024-08-24,25.1,30.9,2,1.4,78.8,12.04,
108,서울,2024-08-25,24.9,32.7,,1.4,76.6,15.82,
108,서울,2024-08-26,25.6,30.6,0,1.5,77.8,8.21,
108,서울,2024-08-27,24.6,30.3,.3,1.9,69.8,10.04,
108,서울,2024-08-28,23,33.2,,2.9,62.1,23.98,
108,서울,2024-08-29,23.4,33.5,,3.1,61,24.86,
108,서울,2024-08-30,23.7,32.9,,2.4,64,24.53,
108,서울,2024-08-31,22.6,33,,1.9,65.6,24.15,
108,서울,2024-09-01,24.6,31.6,,2,64.9,20.05,
108,서울,2024-09-02,22.2,26.9,2.7,2.6,73.6,5.82,
108,서울,2024-09-03,23.2,32,,2.9,54.5,20.85,
108,서울,2024-09-04,23.2,33.3,,2.2,61.4,22.99,
108,서울,2024-09-05,25.6,28.8,6.9,2.4,79.1,6.91,
108,서울,2024-09-06,23.3,25.7,.7,2.6,79.3,4.41,
108,서울,2024-09-07,22.8,31.3,0,1.9,68.9,18.81,
108,서울,2024-09-08,22.6,32.8,,1.6,69.6,20.01,
108,서울,2024-09-09,24.1,34.1,,1.9,69,16.38,
108,서울,2024-09-10,25.6,33.9,,1.8,67.3,17.2,
108,서울,2024-09-11,25.4,34.6,.4,1.8,71.5,12.49,
108,서울,2024-09-12,24.8,27.1,32.7,2.1,91.5,3.78,
108,서울,2024-09-13,24.2,28,7.6,2.2,91.4,4.86,
108,서울,2024-09-14,25.2,32.2,0,1.7,80.3,14.61,
108,서울,2024-09-15,24.2,32.4,,2.8,73.6,18.89,
108,서울,2024-09-16,21.3,32.2,9.5,2.8,74,17.09,
108,서울,2024-09-17,25.8,33.2,,1.7,77,14.62,
108,서울,2024-09-18,26.5,33.6,.7,1.6,76.8,17.53,
108,서울,2024-09-19,25.6,32.6,,1.7,77.4,11.47,
108,서울,2024-09-20,17.9,28.6,54.5,2.4,89.8,3.58,
108,서울,2024-09-21,17.1,21.9,27,4.3,82.3,6.31,
108,서울,2024-09-22,16.9,26.7,,2.7,67.4,19.34,
108,서울,2024-09-23,16.6,26.1,,3.1,58.3,22.31,
108,서울,2024-09-24,15.6,26.9,,2.2,57.9,22.03,
108,서울,2024-09-25,18.6,27.3,0,1.7,65.6,13.51,
108,서울,2024-09-26,21.1,28,1.2,1.6,75.1,14.01,
108,서울,2024-09-27,19.1,28,,2.4,72.8,16.45,
108,서울,2024-09-28,19.2,27.9,,3.4,59.3,18.07,
108,서울,2024-09-29,19.1,29,,2.7,61.5,18.06,
108,서울,2024-09-30,18.3,28.5,,2.1,63,16.77,
108,서울,2024-10-01,13.3,21.7,2.5,2.5,67.5,7.73,
108,서울,2024-10-02,11.6,19.9,,2.5,48.8,20.66,
108,서울,2024-10-03,10.8,22.5,,1.9,59,15.9,
108,서울,2024-10-04,11.9,24.2,,1.8,60,20.32,
108,서울,2024-10-05,11.6,24.4,,1.6,60.4,17.31,
108,서울,2024-10-06,12.3,17.9,0,1.4,73.5,3.65,
108,서울,2024-10-07,14,20.7,,1.3,73.9,9.33,
108,서울,2024-10-08,12.7,23.9,,1.8,73.9,14.54,
108,서울,2024-10-09,13.9,24.4,,2.3,64.1,16.61,
108,서울,2024-10-10,15.3,24.1,0,1.9,66.3,13.91,
108,서울,2024-10-11,13.9,24.4,,1.8,68.8,16.05,
108,서울,2024-10-12,13.4,24.7,,1.5,60.6,18.19,
108,서울,2024-10-13,12.6,22.6,,2,67,11.43,
108,서울,2024-10-14,17.6,21.5,0,1.9,70.3,4.71,
108,서울,2024-10-15,17.6,21.9,.5,1.8,85,4.59,
108,서울,2024-10-16,14.4,24.2,,1.5,76.9,13.84,
108,서울,2024-10-17,13.8,25.7,,1.7,70.4,14.7,
108,서울,2024-10-18,16.2,18.8,47.1,2.5,86.1,1.54,
108,서울,2024-10-19,12.4,21.1,1,3.3,75,8.19,
108,서울,2024-10-20,10.5,17.8,,3.7,56,17.47,
108,서울,2024-10-21,9.7,19.3,0,2.3,66.4,8.92,
108,서울,2024-10-22,14.9,16.6,20.6,2,90.8,1.27,
108,서울,2024-10-23,9.4,15.5,2.3,3.7,75.3,9.76,
108,서울,2024-10-24,7.1,18.4,,1.8,71.4,16.03,
108,서울,2024-10-25,8.7,21.5,,1.7,64.1,14.88,
108,서울,2024-10-26,10.7,24,,1.8,68.3,16.04,
108,서울,2024-10-27,14,18.8,0,1.6,79.4,5.27,
108,서울,2024-10-28,12.3,20.4,0,2.1,75.9,8.92,
108,서울,2024-10-29,13.4,18.3,0,2.3,64.6,6.22,
108,서울,2024-10-30,11.4,21.4,,1.6,71.3,14.75,
108,서울,2024-10-31,11,22.6,,1.4,67.8,14.38,
108,서울,2024-11-01,12.9,18.7,,1.4,70.8,5.83,
108,서울,2024-11-02,13,25.1,,1.9,58.9,14.31,
108,서울,2024-11-03,13,23.5,0,2.4,71.1,13.13,
108,서울,2024-11-04,8.9,18.3,.1,2.9,62,11.74,
108,서울,2024-11-05,5.6,14.7,,2.1,49.8,13.47,
108,서울,2024-11-06,4.1,12.5,,2.5,46.1,14.98,
108,서울,2024-11-07,1.6,15.7,,1.5,48.1,14.42,
108,서울,2024-11-08,3.1,18.1,,1.5,50.8,13.87,
108,서울,2024-11-09,6.8,20.3,,1.4,55.8,13.18,
108,서울,2024-11-10,10.3,21,,1.8,64,11.42,
108,서울,2024-11-11,9.7,21.8,,1.2,64.5,12.95,
108,서울,2024-11-12,11,19.2,,2.2,66.8,13.02,
108,서울,2024-11-13,8.3,21.3,,1.7,62.9,12.26,
108,서울,2024-11-14,13.2,16.8,.1,1.8,68.4,3.57,
108,서울,2024-11-15,13.7,21.5,0,1.8,65.1,9.84,
108,서울,2024-11-16,14.4,22.6,6.5,2.6,72.5,,
108,서울,2024-11-17,2.1,14.4,,3.6,47.6,8.47,
108,서울,2024-11-18,-.7,7.9,,2.3,30.9,13.68,
108,서울,2024-11-19,.3,11.3,,2,49.5,9.9,
108,서울,2024-11-20,2.4,9.6,,1.3,65.8,3.75,
108,서울,2024-11-21,6,14.1,0,2.2,71.9,6.57,
108,서울,2024-11-22,3.3,10.6,,2.2,48,12.57,
108,서울,2024-11-23,1.5,12.6,,1.7,47.1,11.87,
108,서울,2024-11-24,2.6,14.2,,1.6,58.4,11.89,
108,서울,2024-11-25,3.6,15.4,0,2.5,57.6,9.9,
108,서울,2024-11-26,1,12.7,26,3.4,86.4,4.35,.9
108,서울,2024-11-27,-1.3,1.2,22.4,1.4,90.6,.82,20.1
108,서울,2024-11-28,-1.7,3.4,4.9,1.8,82,8.16,28.6
108,서울,2024-11-29,-3.4,3.4,0,1.5,76.3,8.35,12.3
108,서울,2024-11-30,-.5,5.6,0,1.8,81.6,4.74,7.9
108,서울,2024-12-01,1.6,8.2,.5,2.4,89.3,7.01,5.3
108,서울,2024-12-02,.6,13,0,2.2,79.9,5.09,
108,서울,2024-12-03,-2.4,5.2,0,2.4,48.6,11.61,
108,서울,2024-12-04,-.6,6.9,0,2.1,52.1,11.12,
108,서울,2024-12-05,-.1,8.8,1.8,2.3,62.8,9.89,
108,서울,2024-12-06,-.4,5.2,,2.5,49.3,11.69,
108,서울,2024-12-07,-2.5,4.6,,2.5,56.9,10.86,
108,서울,2024-12-08,-3.9,4.1,,2.2,46.5,11.62,
108,서울,2024-12-09,-3.8,7.4,,1.6,56.1,10.61,
108,서울,2024-12-10,-1.9,6.9,,1.9,58.9,10.52,
108,서울,2024-12-11,.2,8.2,,1.6,50.3,8.65,
108,서울,2024-12-12,-3.2,5.4,,2.1,45.8,10.06,
108,서울,2024-12-13,-1.5,4.5,,2.2,42.1,7.14,
108,서울,2024-12-14,-3.6,2.5,,2.2,51,11.11,
108,서울,2024-12-15,-2.2,5.4,0,2.4,54.1,8.76,
108,서울,2024-12-16,-3.3,3.9,0,1.2,65.9,5.61,
108,서울,2024-12-17,-3.5,3.8,,2.2,51.8,8.26,
108,서울,2024-12-18,-6.2,.9,,2.2,47.1,11.38,
108,서울,2024-12-19,-6.7,4.9,,1.5,47.4,10.53,
108,서울,2024-12-20,-2.1,5.3,.4,2,60.9,4.9,.5
108,서울,2024-12-21,-4.7,1.9,2.9,2.8,74.1,4.03,2.7
108,서울,2024-12-22,-7.7,1,,2.1,52.9,11.47,1.4
108,서울,2024-12-23,-5,6.7,,2.2,58.5,10.29,.7
108,서울,2024-12-24,-4.3,5.1,,1.4,50.3,11.06,
108,서울,2024-12-25,-1.1,6.5,.1,2,63.1,6.46,
108,서울,2024-12-26,-4.8,4.2,0,3.4,57.9,11.1,
108,서울,2024-12-27,-5.9,1.8,0,2.7,51.4,9.29,
108,서울,2024-12-28,-6.7,1.1,,2.5,48.3,11.01,
108,서울,2024-12-29,-4.2,6.1,,1.5,56.1,9.49,
108,서울,2024-12-30,1.9,10.1,0,2.3,68.5,6.29,
108,서울,2024-12-31,-2,4.9,0,2.6,45.8,11.57,
