"통계분류(1)",통계분류(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),표본수,카페,식당,아파트 내 (집주변) 공터,생활권 공원,영화관,대형마트,헬스클럽,재래시장,쇼핑몰,산,목욕탕,마을회관,종교시설,기타 실내공간,도서관,운동경기장,PC방,미용관리실,노인복지회관,학교시설,주제공원,국민체육센터,골프장,기타실내체육시설,박물관,캠핑장,수영장,주민자치센터,생활문화센터,노래방,골프연습장,찜질방,공연장,전시관,학교운동장,당구장,사설문화센터,학원,낚시터,역사/문화유적지,해수욕장,테마파크,유원지,문예회관,대형서점,미술관,문화의 집,기념관,사회복지관,기타실외체육시설,리조트,삼림욕장,평생 학습관,기타 실외공간,복합 체육관,여성회관,식물원,농어촌 복합 체육시설,클럽,복합문화거리,동물원,청소년수련관,지방문화원,농산어촌체험장,오락장,수족관,경마/경정/경륜장,만화방,빙상경기장,스키장
"전체",소계,10040,13.1,10.9,10.6,7.1,5,4.7,4.4,3.6,2.5,2.1,2.1,2,1.8,1.4,1.3,1.3,1.3,1.2,1.1,1.1,1.1,1.1,1,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0
"성별",남성,5006,11.1,14.4,9.6,6.8,5.2,3.6,5.3,2.6,2,2.9,1.4,1.4,1.1,1.2,1.7,2.1,2.3,0.4,0.8,1.2,1.3,1.3,1.4,1.1,0.7,1.1,0.6,0.7,0.7,0.9,1.1,0.4,0.5,0.4,0.8,1.2,0.4,0.5,1,0.5,0.6,0.5,0.5,0.4,0.4,0.3,0.4,0.4,0.2,0.5,0.2,0.3,0.1,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0,-,0.1,0.1,0.1,-,0,0,-
"성별",여성,5034,15,7.6,11.6,7.4,4.7,5.7,3.5,4.6,2.9,1.4,2.8,2.7,2.6,1.6,1,0.4,0.2,1.9,1.4,1.1,0.9,0.8,0.6,0.8,1.1,0.6,1.1,0.9,0.9,0.7,0.4,1,0.8,0.9,0.5,0,0.8,0.6,0,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.3,0.3,0.4,0.2,0.3,0.2,0.4,0.1,0.2,0.2,0.1,0,0.1,0.1,0.1,0.1,0.1,0,-,0,0,0,-,0
"연령별",15~19세,515,12,5.5,6.1,3.9,9.3,-,3.5,0.6,0.9,-,-,-,0.2,0.9,6.5,4.6,6.1,0.6,-,11.3,0.6,0.8,-,2.6,0.9,0.4,0.1,-,0.6,5,0,-,1.5,0.9,3.9,-,0.2,5.4,0.2,0.1,-,0.1,0.5,0.3,0.6,0.2,0.5,-,-,-,0.1,-,-,-,0.8,0.6,0,0.2,0.3,-,-,0.6,-,-,-,-,-,0,-,-
"연령별",20대,1370,25,8.2,5.5,2.7,8.9,1.4,9.3,-,2.4,0.8,0.2,-,0.5,1.2,2.4,2.5,3.5,1.8,-,3.2,1,1.2,0.4,1.5,0.6,1.1,0.4,0.3,0.3,1.3,0.1,0.4,0.8,0.6,0.4,0.2,0.3,1.4,0.1,0.5,1,0.7,0.2,0.2,0.5,0.5,0.7,0.2,0.2,0.7,0.3,0.1,0.5,0,0.3,-,0.1,0.1,0.4,0.3,0.1,-,-,-,0.1,-,0.2,0.1,-,0
"연령별",30대,1467,20.6,10.9,6.1,5.3,8.5,5.2,7.3,0.8,4.4,1.1,0.7,0.1,0.7,1.2,1,1.2,2,1.5,0,0.1,1.1,0.6,0.8,1.1,1.5,1.5,0.9,0.2,0.7,1,0.4,0.6,0.6,1.1,0.1,0.3,0.9,0.1,0.7,0.7,0.4,1.1,0.7,0.2,0.5,0.7,0.2,0.3,0.3,0.2,0.3,0.1,0,-,0.2,0,0.1,0.1,-,0.2,0.1,-,0.2,0,-,0.1,-,0,0.1,-
"연령별",40대,1763,14.4,11.8,8.1,6.4,5.9,7.4,4.5,2.9,3.9,1.9,1.9,0.3,1.3,1.1,1.1,1,0.6,1.4,0,0,1.1,0.6,1.7,0.7,0.9,1.7,1.1,0.5,0.6,0.6,1.3,0.3,0.5,0.8,0.6,0.5,0.6,0.3,0.5,0.5,0.9,0.8,0.7,0.8,1,0.2,0.6,1.1,0,0.4,0.4,0.2,0.2,0.4,0.1,0.2,0.2,0.1,0,0.1,0.3,-,0.1,0,0,-,-,-,-,-
"연령별",50대,1849,10,14.4,11.9,8.4,3.3,5.6,3.4,3.6,2.3,3.4,2.9,0.5,2.3,1.5,1,1.1,0.3,1,0.1,0.2,1.7,1.2,1.8,0.6,0.7,0.5,1.2,1.2,0.9,0.2,1.3,1.4,0.8,0.6,0.4,1.2,0.4,0.2,1,0.3,0.4,0.3,0.3,0.4,0.3,0.6,0.2,0.4,0.3,0.3,0.4,0.4,0.3,0.2,0.2,0.3,0.1,0.1,0.1,0,-,-,0.1,0.1,-,0,-,-,-,-
"연령별",60대,1718,7.3,12.7,14.8,9.4,1.6,6.2,1.6,7.2,2,3.7,3.9,2.2,3.1,1.7,0.9,0.5,-,0.6,0.4,0.2,0.9,1.4,0.7,0.7,0.7,0.4,0.6,1.4,1.5,0.5,0.8,1.1,0.4,0.5,0.4,1.3,1.3,-,0.6,0.4,0.4,0.2,0.3,0.3,0,0.3,0.2,0.1,0.5,0.2,0.1,0.3,0.4,0.2,0,0.1,0.1,0.2,0.1,0,-,-,-,0.1,0.1,0.1,-,-,-,-
"연령별",70세이상,1358,2.3,7.8,19,11.2,0.5,2.6,1.2,7.9,0.3,1.9,3.4,11.1,3.8,1.9,0.1,0.3,-,1,7.8,0.1,0.7,1.5,0.7,0.7,1.1,0.1,0.7,1.3,0.9,0,0.5,0.3,0.5,-,0.8,-,0.1,-,0.1,0.9,0.1,0.1,0.5,0.5,0.1,0.1,0.2,0,0.9,0.4,0,0.4,0.2,0.6,-,0.2,0.2,0.1,-,0.1,-,0.3,-,-,-,-,-,-,-,-
"학력별",초졸 이하,983,2.9,8.3,19.7,10.4,0.9,1.4,0.7,6.5,0.4,0.7,3,14.9,3,2.2,0.4,1.4,1,0.9,7,1.9,0.2,0.4,-,0.7,0.9,-,0.6,1.4,0.6,0.6,-,0.3,0.3,0.1,1.1,0.1,0.2,0.9,0.2,1,0.2,-,0.5,0.1,0.1,0.2,-,0.1,0.6,0.2,0,-,0.1,0.4,0.2,-,-,0,-,-,-,0.3,-,-,-,-,-,-,-,-
"학력별",중졸,1067,6.1,9.2,15.2,7.9,3.7,4.3,0.8,7.5,0.5,1.9,3.5,3.9,1.8,0.9,2.7,0.8,1.7,0.9,3.2,3.4,1.2,1.8,0.6,1.1,0.6,0.2,0.6,1.4,1.1,1.5,-,0.1,0.6,0.5,1.7,0,-,1.7,0.5,0,0.1,0.1,0.5,0.3,0.4,-,0.2,0.1,1,0.1,0.1,0.2,-,0.2,0.3,0.2,0.2,0.2,0.1,0.1,-,0.3,-,0.1,-,-,-,-,-,-
"학력별",고졸,3908,12.8,12.4,11.1,7.5,3.7,5.6,3.6,4.3,2,2.6,2.9,1,2.1,1.5,1.1,1.3,1.2,1.2,0.6,1.3,1.2,0.9,0.5,0.9,0.8,0.9,0.7,0.9,0.8,0.6,0.7,1,0.6,0.4,0.6,0.8,0.6,0.4,0.6,0.3,0.5,0.3,0.5,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.2,0.4,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0,0.1,0.1,0.1,0,0,0.1,0,-,-
"학력별",대졸이상,4082,16.9,10.5,7.3,5.9,7.1,4.6,6.7,1.4,3.8,2,0.9,0,1.4,1.3,1.4,1.3,1.2,1.3,0,0.2,1.1,1.2,1.8,1,1.1,1.2,1,0.4,0.8,0.8,1.2,0.6,0.8,1,0.3,0.7,0.8,0.4,0.5,0.7,0.7,0.9,0.4,0.5,0.5,0.6,0.5,0.6,0.1,0.4,0.3,0.2,0.4,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,-,0,0,0,0,-,0,0,0
"동거가구원수별",1인,1952,10.5,11.7,13.3,7,4.9,3,4.1,3.6,1.5,1.6,2.6,6.2,2,1.6,0.9,1.4,1.7,1.8,3.3,0.5,0.9,1.2,0.3,0.7,0.5,0.4,0.9,1,0.4,0.5,0.4,0.6,0.5,0.4,0.3,0.3,0.4,0.3,0.5,0.3,0.5,0.4,0.6,0.5,0.1,0.1,0,0.2,0.8,0.6,0.2,0.3,0,0.6,0.3,0.1,0.2,0.1,0,0.1,0,-,-,0.1,-,0.1,-,0.1,-,-
"동거가구원수별",2인,2941,8.7,11.9,14.1,8.7,2.9,5,2.8,5.5,1.9,2.5,3.4,3.9,2.5,1.5,0.6,0.7,0.2,0.8,2.3,0.1,1.2,1.4,1.3,0.9,0.7,0.4,1,1.4,1.1,0.5,0.5,0.5,0.6,0.3,0.4,0.5,0.5,0.1,0.5,0.7,0.2,0.2,0.6,0.2,0.2,0.2,0.3,0.1,0.3,0.2,0,0.4,0.3,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0,0.2,0.1,0.1,0.1,0,-,-,-,-
"동거가구원수별",3인이상,5147,15.1,10.5,8.9,6.5,5.8,4.7,5.1,2.8,2.8,2,1.5,0.7,1.6,1.3,1.7,1.5,1.6,1.2,0.4,1.6,1.1,0.9,1,1,1,1.1,0.7,0.5,0.7,0.9,0.9,0.8,0.7,0.8,0.7,0.7,0.6,0.8,0.5,0.5,0.6,0.6,0.4,0.5,0.5,0.5,0.4,0.5,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0
"혼인상태별",미혼,2814,20.8,9.4,5.6,3.9,8.9,1.5,8.4,0.3,2.3,0.5,0.3,0.2,0.6,1.2,2.8,2.6,3.9,1.6,-,3.8,0.8,1,0.3,1.6,0.8,1.1,0.5,0.2,0.6,1.9,0.3,0.3,0.8,0.6,1.1,0.3,0.3,1.8,0.4,0.5,0.6,0.5,0.4,0.4,0.5,0.3,0.6,0.4,0.2,0.4,0.2,0,0.2,0.1,0.3,0.1,0,0.1,0.3,0.2,0,0.1,-,0,0,0,0.1,0.1,0,-
"혼인상태별",기혼,6040,10.9,11.7,11.8,8.2,3.7,6.1,3.1,4.5,2.8,2.8,2.7,1.9,2.2,1.5,0.8,0.8,0.3,1,1.1,0.1,1.3,1.1,1.4,0.7,1,0.9,1,1,0.9,0.3,1,0.8,0.6,0.7,0.4,0.7,0.7,0.1,0.6,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.1,0.2,0.2,0.1,0,0.1,0.1,0.1,0.1,0,0,0,-,-,0,0
"혼인상태별",사별/이혼/기타,1186,3.2,10.4,18.9,9.7,1.1,3.5,1.4,7.2,0.7,1.7,3.8,10.4,3.2,1.8,0.7,0.2,0.1,1.2,6.1,0.2,0.7,0.9,0.9,0.2,0.4,0.2,0.6,1.4,1,0.4,0.2,0.5,0.6,0.2,1,0.4,0.1,-,0.6,0.5,-,-,0.1,0.4,0.1,0.1,0.2,0.1,1,0.4,0,0.2,-,0.4,-,-,0.2,0.1,0,0.1,-,-,-,0.1,0.2,0.1,-,-,-,-
"가구주여부별",가구주,5280,9,14.2,11.7,8,4.2,4.6,3.7,3.8,1.8,3.3,2.1,2.7,1.7,1.3,1,1.4,0.7,0.7,1.6,0.2,1.2,1.2,1.5,0.8,0.7,0.8,0.7,0.9,0.8,0.5,1.2,0.8,0.5,0.4,0.4,1.1,0.5,0.2,1,0.6,0.5,0.5,0.5,0.4,0.3,0.4,0.3,0.6,0.3,0.5,0.3,0.3,0.2,0.4,0.1,0.1,0.2,0.2,0,0.1,0.1,-,-,0.1,0.1,0.1,-,0,0,-
"가구주여부별",가구주 아님,4760,16.3,8.3,9.8,6.4,5.6,4.7,5,3.4,3.1,1.2,2.1,1.5,2,1.5,1.6,1.1,1.7,1.5,0.8,1.8,0.9,1,0.6,1,1,0.9,0.9,0.7,0.8,1,0.4,0.6,0.8,0.9,0.8,0.2,0.7,0.9,0.2,0.5,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.2,0.3,0.2,0.2,0.1,0.3,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0
"종사자지위별",상용근로자,3279,17.2,11.9,7.4,5.4,7,5,6.7,1.2,3.9,2.7,1.5,0.1,1.2,0.8,0.9,1.7,1.7,1.4,0,0.2,1.1,1.1,1.3,1.1,0.8,1.6,1,0.3,0.5,0.8,0.6,0.6,0.5,0.6,0.4,0.9,0.7,0.1,0.8,0.8,0.5,0.9,0.5,0.6,0.4,0.4,0.6,0.3,0.1,0.2,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1,-,0,0,0.1,0,-,0,0,-
"종사자지위별",임시근로자,647,10.8,9.1,13.8,7.5,5.4,2.7,5,4.3,1.3,1.4,3.2,4.3,2.8,1.5,1.5,1.2,1.9,0.8,1.7,1.4,2,0.9,0.7,0.5,0.4,1.3,0.3,0.7,0.9,1.5,0.1,0.9,0.5,0.3,0.3,0.1,0.1,0.5,0.6,-,0.4,0.8,0.3,-,0.5,0.3,0.1,0.1,0.7,-,0.2,0.3,0.3,0.6,0,-,-,-,0.7,-,-,-,-,-,-,-,0.4,-,-,-
"종사자지위별",일용근로자,171,8.2,12.8,13,5.1,5.4,5.8,3.5,4.3,1,3.5,5.2,2.8,3.3,0.5,1.8,3.2,1.5,0.5,2.1,-,0.2,1,1.6,-,-,1.3,-,0.7,0.3,2.4,-,0.1,1,1.2,-,1.3,-,0.7,0.9,0.5,-,-,-,-,0.3,-,-,-,0.2,1.1,0.3,-,-,0.3,-,-,0.4,-,-,0.6,-,-,-,-,-,-,-,-,-,-
"종사자지위별",고용원이 있는 자영업자,396,12.2,13.8,6.7,7,5.2,5.7,2.7,1.8,2.6,2.9,2.7,1,1.9,1.4,0.6,0.6,0.7,1.3,0.2,-,0.3,0.7,4.9,1.7,1.3,0.5,1.4,1,1.3,1,2.2,0.6,0.2,0.3,-,2.2,0.3,-,2.1,0.1,1,0.7,0.3,0.1,0.3,-,0.5,0.1,0.1,0.7,0.9,-,0.2,-,0.3,-,0.7,0.2,0.2,0.2,-,-,-,-,-,-,-,-,0.3,-
"종사자지위별",고용원이 없는 자영업자,1862,9.5,17.1,10.3,7.8,3.2,5.1,2.7,5.7,1.7,2.9,2.6,2.3,2.5,2.6,0.3,0.9,0.1,0.6,0.6,-,1.6,1.1,1.2,0.8,0.9,0.5,0.7,1,1,0.3,1.4,0.7,0.3,0.5,0.4,0.9,0.5,0.1,0.2,0.5,0.5,0.3,0.4,0.5,0.4,0.5,0.5,1.1,0.3,0.2,0.2,0.1,0.1,0.1,0.4,0.2,0.1,0.3,0,-,0.1,-,0.1,0.1,-,0.1,-,-,-,-
"종사자지위별",무급가족종사자,226,7.7,8.7,17,4.9,1.2,6.5,0.2,11.6,0.6,0.9,1.3,14.9,3.3,-,-,0.4,-,1.6,3.8,-,1.1,0.3,0.5,0.7,-,-,1.3,2.4,0.6,-,0.4,0.6,2.8,0.6,0.5,-,0.4,-,-,-,0.8,-,-,-,-,-,-,-,1.2,0.3,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
"종사자지위별",기타종사자,66,15.6,9.9,15.8,1.8,5.9,7.5,8.8,4.6,1.4,-,-,6.9,0.2,-,-,-,-,4.3,-,-,-,0.6,-,-,-,1.1,-,-,-,-,3.6,-,-,3.8,4.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1.6,-,0.5,-,-,-,-,1.6,0.5,-,-,-,-,-,-,-,-,-,-,-,-
"종사자지위별",해당없음(무직),3393,12,6.8,13.3,8.6,4.1,4.1,3.4,4.3,1.9,1.2,2.1,2.5,1.8,1.5,2.4,1.1,1.5,1.2,2.3,2.8,0.7,1.2,0.3,0.9,1.1,0.4,0.7,1,0.9,0.9,0.5,0.8,0.9,0.8,1.1,0.1,0.7,1.3,0.2,0.5,0.5,0.2,0.6,0.4,0.5,0.4,0.2,0.1,0.5,0.4,0.2,0.3,0.4,0.3,0.2,0.3,0.1,0.1,0,0,0,0.1,0.1,0,0,0,-,0,-,0
"가구소득별",100만원 미만,828,3,5.5,21.2,8.1,1.9,1.9,1.8,5.2,0.2,1.5,4.2,12.6,3.7,2.3,2,0.8,0.6,1.8,8.5,0.6,1.2,0.6,-,0.6,0.3,-,0.3,1.3,-,0.1,-,0.2,0.3,0.1,1,-,0.1,0.1,0.1,0.8,-,0.1,0.7,0.5,0.1,-,-,0.2,1,0.5,0.1,0.3,-,0.7,0.2,-,0.5,0.2,-,0.2,0.1,-,-,-,-,-,-,0.1,-,-
"가구소득별",100~200만원,744,3.5,10,21.3,10.5,0.9,2.7,1.4,8.4,0.4,1,4.9,10.5,3,1.2,0.4,0.2,0.3,0.5,5.1,0.6,0.1,1.1,0.6,0.8,0.7,0.1,1.1,0.9,1.3,0.2,-,0.4,0.1,0.1,0.7,0.5,0.2,-,0.4,0.4,-,-,0.3,-,0.4,0.2,-,-,1,0.2,-,-,0.1,0.6,0,-,0.2,0.1,-,0.2,-,-,-,0.1,-,-,-,-,-,-
"가구소득별",200~300만원,1300,8,12.9,15.5,9.1,3.6,4.4,2.4,5.2,1.7,2.2,2.5,3.6,3.1,1.8,1,0.6,1.1,1.3,1.2,0.5,1.4,1.4,0.3,1,0.3,0.3,1.1,1.5,1.1,0.4,0.4,0.6,0.4,0.4,0.3,0.1,0.7,0.1,0.4,1.1,0.4,0.6,0.7,0.1,0.4,0.1,0.2,-,0.4,0,0.1,0.8,-,0.3,0.1,0.3,0.1,0,0,-,-,0.2,-,0.1,-,-,-,0.1,-,-
"가구소득별",300~400만원,1614,11.2,12.9,12.6,8.1,4.2,6.1,3,4.1,2.5,1.6,2.1,2,1.7,1.3,1.4,1.6,1.3,0.9,1,1.3,0.8,0.8,0.4,1.1,0.9,0.3,0.3,0.8,0.9,1.4,0.4,1.2,0.3,0.4,1.4,0.5,0.6,0.5,0.3,0.3,0.6,0.3,0.8,0.3,0.2,0.2,0,-,0.6,0.4,0.2,0.2,0.3,0.2,0,0.1,0.1,0.2,0.1,0.1,0,0.1,0.2,0.1,-,0.1,-,-,0,-
